artist,bio,THE MANIFREDS,"Legendary British Invasion band known for their dynamic R&B and blues-rock sound, reformed from the original Manfred Mann lineup in 1991.",Spotify
DRS,"DRS is a well-known figure in the drum and bass community, recognized for his lyrical prowess and contributions to the genre as an MC. His works often feature deep, introspective lyrics over high-energy drum and bass rhythms.",,,Y
SEIZE THE DAY,"Seize The Day is an activist band known for their politically charged lyrics and folk-inspired sound. Their music often addresses social and environmental issues, blending traditional folk with modern protest music.",,,Y
DR BANANA,"Dr Banana is known for his contributions to the underground UK garage scene. His label, Dr Banana, focuses on reviving classic garage sounds while also releasing new music that captures the essence of the genre.",,,Y
L-VIS 1990,"L-Vis 1990, also known as James Connolly, is a prominent figure in the UK electronic music scene. He is a co-founder of the Night Slugs label, and his work spans genres including grime, house, and bass music.",,,Y
SMOKIN' JO,"Smokin' Jo is a renowned DJ in the house and techno scene. With a career spanning several decades, she has played at some of the world's most famous clubs and festivals and has made significant contributions to the dance music landscape.",,,Y
DREAM MCLEAN,"Dream Mclean is a British rapper and grime artist, recognized for his intricate wordplay and ability to blend grime with hip-hop and dubstep influences.",,,Y
SOPHIE FAITH,"Sophie Faith is a singer-songwriter whose music blends elements of soul, jazz, and R&B. Her emotive voice and heartfelt lyrics have garnered her a dedicated following and critical acclaim in the contemporary soul scene.",,,Y
DEMI RIQUISIMO,"Demi Riquisimo is known for his eclectic DJ sets and productions that blend house, disco, and electro influences. His music is characterized by its groove and energy, making him a popular figure in the underground dance music scene.",,,Y
NAT WENDELL,"Nat Wendell is a DJ and producer known for his contributions to the deep house genre. His sound often incorporates soulful elements and a strong sense of groove, creating an engaging and emotive listening experience.",,,Y
ELLA KNIGHT,"Ella Knight is an emerging artist recognized for her smooth, jazzy voice and contemporary R&B sound. Her music often features lush, atmospheric production and introspective lyrics, creating a moody and soulful listening experience.",,,Y
IMPERIAL WAX,"Imperial Wax is a rock band that features members from the influential post-punk group The Fall. They are known for their raw, energetic sound and continuation of a gritty punk ethos.",,,Y
GIRLS OF THE INTERNET,"Girls Of The Internet is a genre-blending project that combines elements of house, soul, and electronic music, known for their experimental approach and engaging productions.",,,Y
BLACKBERRY WOOD,"Blackberry Wood is known for their unique blend of acoustic, gypsy, and folk-punk music. Their energetic performances often feature eclectic instrumentation, creating a festive and vibrant atmosphere.",,,Y
NATTY WYLAH,"Natty Wylah is a British rapper and poet known for his unique blend of hip-hop and spoken word. His lyrics often explore themes of identity, politics, and social issues, delivered with a distinctive, rhythmic flow.",,,Y
TENNYSON KING,"Tennyson King is known for his soulful and electrifying blend of rock and folk music. His style often incorporates elements of blues and roots, delivering a raw, gritty sound that is both captivating and reflective.",,,Y
LEKIDDO - LORD OF THE LOBSTERS,"Lekiddo - Lord Of The Lobsters is a quirky music artist known for his niche genre of lobster-themed dance-pop. His performances are often colorful and theatrical, engaging audiences with catchy tunes and eccentric costumes.",,,Y
MADAME ELECTRIFIE,"Madame Electrifie is a DJ and producer known for her eclectic approach to electronic music. She often blends elements of electro-swing, breaks, and bass-heavy genres, creating a unique and energetic sound that resonates with diverse audiences.",,,Y
MR. B THE GENTLEMAN RHYMER,"Mr. B The Gentleman Rhymer is a pioneer of 'chap-hop,' a unique subgenre that combines the refined sensibilities of British chap culture with the rhythmic elements of hip-hop. His music often features clever wordplay and Victorian-era aesthetics.",,,Y
THE TROUBLE NOTES,"The Trouble Notes are celebrated for their world fusion music, combining classical violin techniques with folk, gypsy jazz, and electronic beats. Their music often transcends cultural boundaries and invites listeners into a diverse sonic landscape.",,,Y
LEA LEA,"Lea Lea is a dynamic artist who falls within the experimental soul and electronic subgenres. Her powerful vocals, combined with innovative production techniques, create a sound that is both modern and deeply emotive.",,,Y
EMMA JEAN-THACKRAY,"Emma Jean-Thackray is a prominent figure in the modern jazz scene. Her work often blends jazz with electronic music, funk, and psychedelic elements, resulting in a fresh and innovative sound that respects traditional jazz while pushing its boundaries.",,,Y
GROOVE ARMADA,"Groove Armada is an electronic music duo from England, known for their diverse range of sub-genres including big beat, house, and downtempo.",,,Y
KLEU,"Kleu is associated with the drum and bass subgenre, delivering high-energy tracks that are characterized by fast breakbeats and heavy bass lines. Their music often finds a home in vibrant, high-tempo rave and club scenes.",,,Y
TURNO,"Turno is a prominent figure in the drum and bass scene, known for his high-energy tracks, aggressive basslines, and dynamic DJ sets that captivate audiences worldwide.",,,Y
NYRA,"Nyra is known for his contributions to the underground house and techno scenes, characterized by his deep grooves, infectious rhythms, and analog sound production.",,,Y
SUBB-AN,"Subb-An is a notable name in the contemporary house and techno scenes, recognized for his sophisticated production techniques and consistently innovative releases that push the boundaries of electronic music.",,,Y
KANGAROO MOON,"Kangaroo Moon fuses elements of folk, rock, and world music, creating a unique sound that is both eclectic and accessible. Their live performances are known for their energy and improvisational flair, often incorporating various traditional instruments.",,,Y
IVO DIMCHEV,"Ivo Dimchev is a multidisciplinary artist known for his avant-garde approach to music, blending performance art, contemporary classical, and experimental elements to create deeply emotive and thought-provoking works.",,,Y
DISRUPTA,"Disrupta is an emerging artist in the Drum and Bass genre, known for his energetic tracks and innovative mixes. His music often features fast-paced breaks, heavy basslines, and intricate rhythms, making him a notable figure in the contemporary Drum and Bass scene.",,,Y
FRICTION,"Friction is a prominent figure in the Drum and Bass genre, both as a DJ and a producer. Known for his high-energy sets and diverse track selections, he has made significant contributions to the genre through his work on record labels and radio shows. His music often features fast-paced beats, rolling basslines, and precise production.",,,Y
FELIX DICKINSON,"Felix Dickinson is a storied figure in the acid house and disco revival scenes. With a career spanning several decades, he has been instrumental in bringing the underground sounds of these genres to broader audiences, all while maintaining a distinct and infectious groove.",,,Y
JAYDA G,"Jayda G is a Canadian DJ and producer known for her house music, which often features soulful and disco influences, and her energetic, uplifting DJ sets.",,,Y
TASH LC,"Tash Lc is a London-based DJ and radio presenter recognized for her eclectic mixes that span across genres like Afrobeat, highlife, and electronic music. Her work often highlights the rich sounds of the African diaspora.",,,Y
EATS EVERYTHING,"Eats Everything is a prominent DJ and producer in the house and techno music scenes. He is known for his bass-heavy, genre-blurring tracks and energetic DJ sets.",,,Y
BOBBY FRICTION,"Bobby Friction is a British DJ and television presenter noted for his work in the UK Asian music scene. He specializes in genres like Bhangra, Asian Underground, and electronic dance music, often highlighting South Asian influences.",,,Y
LANCE DESARDI,"Lance Desardi is an electronic music producer and DJ, recognized for his work in the deep house genre. His productions often feature smooth, soulful melodies and intricate rhythms.",,,Y
THE SCRIBES,The Scribes are a hip-hop group known for their socially conscious lyrics and dynamic live performances. Their music blends elements of traditional hip-hop with contemporary sounds and thought-provoking themes.,,,Y
DIXON,"Dixon is a renowned DJ and producer in the house and techno genres. As a key figure in the Berlin electronic music scene, he is celebrated for his deep, emotive sets and his role in the influential Innervisions label.",,,Y
BURT COPE,"Burt Cope is known for his work in the UK Bass genre, a subgenre of electronic dance music characterized by heavy basslines and often incorporates elements of Garage and Grime.",,,Y
DEEKLINE,"Deekline is a prominent figure in the Breakbeat genre, which features a syncopated drum pattern, and is closely related to genres like Jungle and Drum and Bass.",,,Y
ED SOLO,"Ed Solo is well-known in the Drum and Bass genre, particularly for his work in its subgenre of Jump-Up, characterized by its energetic, upbeat rhythms.",,,Y
DENHAM AUDIO,"Denham Audio is associated with the Rave and breakbeat Hardcore scenes, known for their high-energy beats and nostalgic nods to 90s British rave culture.",,,Y
DOUBLE O,"Double O is a key player in the Jungle and Drum and Bass scenes, known for the genre's fast breakbeats (typically between 160â180 BPM), heavily syncopated percussive loops, samples, and synthesized effects.",,,Y
CHARLI XCX,"Charli XCX is an influential figure in the Hyperpop genre, known for its exaggerated, eclectic pop sound that incorporates elements of electronic, avant-garde, and mainstream pop music.",,,Y
ALEX MILLS,"Alex Mills is recognized in the House and Dance music scenes, known for her distinct soulful vocals that often enhance deep house and electronic dance tracks.",,,Y
HAAI,"Haai is an electronic music producer and DJ known for her experimental approach to techno and house music. She often incorporates diverse influences and unexpected samples in her tracks, creating immersive and dynamic soundscapes.",,,Y
KI/KI,"Ki/Ki is a rising talent in the electronic music scene, known particularly for her work within the sub-genre of trance. Her sets are characterized by high energy, euphoric melodies, and driving beats.",,,Y
REBECCA VASMANT,"Rebecca Vasmant is a DJ and producer from Glasgow, primarily known for her contributions to the jazz and electronic music scenes. She often blends live jazz instrumentation with electronic elements to create a hybrid sound.",,,Y
SUNTOU SUSSO,"Suntou Susso is a Gambian musician renowned for his modern take on traditional West African music. He specializes in the kora, a 21-string lute-bridge-harp, blending it with contemporary sounds.",,,Y
DYEN,Dyen is recognized in the techno scene for his fast-paced and hard-hitting beats which often blend elements of hard techno and industrial influences.,,,Y
HAGAN,"Hagan is known for his Afrobeat and UK Funky style, blending African rhythmic influences with elements of house and dance music.",,,Y
DEAF RAVE,Deaf Rave is a unique movement within the electronic dance music scene that aims to bring the rave experience to the deaf and hard of hearing community through visual music and sign language performances.,,,Y
DJ DANIFOX,"Dj Danifox is a prominent figure in the Kuduro music scene, an energetic style of dance music that originated in Angola and incorporates African rhythms and Portuguese influences.",,,Y
DAPHNI,"Daphni is a side project of Canadian musician Dan Snaith, who is also known for his work as Caribou. Under the Daphni moniker, Snaith delves into electronic dance music, creating tracks that are innovative and often geared towards the dance floor with a mix of house, techno, and experimental sounds.",,,Y
GENE ON EARTH,"Gene On Earth is known for his cosmic and minimal house tracks, often characterized by groovy basslines, spaced-out melodies, and stripped-back beats. His music has a distinct underground vibe that appeals to electronic music connoisseurs.",,,Y
SELECTA JMAN,"Selecta Jman is an artist prominent in the jungle and drum and bass scenes, known for his high-energy sets and deep, rolling basslines.",,,Y
KATY B,"Katy B is a British singer and songwriter associated with the dubstep, UK garage, and house music scenes, known for her powerful voice and danceable tracks.",,,Y
THE FILTHY SIX,"The Filthy Six are known for their work in the modern jazz and soul-jazz scene, often blending elements of classic 60s soul and funk with contemporary jazz influences.",,,Y
BICEP,"Bicep is a Belfast-born electronic music duo known for their house and techno productions, often infused with elements of breakbeat, electro, and nostalgic rave culture.",,,Y
NOBLE & HEATH,"Noble & Heath are known for their work in the house and disco scenes, often playing sets that blend classic disco sounds with modern house tracks.",,,Y
OPTIMO [ESPACIO],"Optimo [Espacio] is a renowned DJ duo and club night from Glasgow, celebrated for their eclectic style that merges post-punk, disco, techno, and house music, creating diverse and dynamic sets.",,,Y
LOONALOOP,"Loonaloop is a band known for their fusion of world music, electronica, and trance. Their eclectic sound and hypnotic live shows feature a diverse range of instruments and global musical influences.",,,Y
OH MY GOD! IT'S THE CHURCH,"Oh My God! It'S The Church is a unique act that combines elements of live music, comedy, and theatrical performance. Their shows are known for their humorous take on religious themes, featuring a mix of rock, gospel, and soul music.",,,Y
AMELIE LENS,"Amelie Lens is a Belgian electronic music DJ, producer, and owner of the Lenske record label. She is best known for her dark, driving techno beats, which have made her a heavyweight in the international techno scene.",,,Y
ANDY BLAKE,"Andy Blake is a well-respected DJ and producer in the underground house and techno scenes, known for his deep knowledge of music and eclectic, vinyl-heavy DJ sets.",,,Y
O'FLYNN,"O'Flynn is a London-based DJ and producer known for his eclectic mix of world music samples and electronic beats. His music often incorporates elements of house, techno, and African rhythms, creating energetic and danceable tracks.",,,Y
TOYA DELAZY,"Toya Delazy is a South African artist known for her unique blend of jazz, electro, and hip-hop, a style she refers to as 'JEHP'.",,,Y
DJ EZ,"DJ EZ is renowned for his exceptional skill and influence in the UK Garage scene. With a career spanning over two decades, he is celebrated for his high-energy sets and technical prowess.",,,Y
ROXANNE ROLL,"Roxanne Roll is known for her part in the Fleetmac Wood project, which re-edits and remixes Fleetwood Mac's music for a club setting, often blending disco and house elements.",,,Y
MELLA DEE,"Mella Dee is a British DJ and producer noted for his eclectic mix of techno, house, and UK garage.",,,Y
SAOIRSE,"Saoirse is known for her work in the electronic music scene, particularly within the genres of house, techno, electro, and more. She is celebrated for her dynamic DJ sets and deep, eclectic music selections.",,,Y
ANDY CATO,"Andy Cato is best known as one half of the electronic music duo Groove Armada. His work primarily falls within the house, electronic, and chill-out genres, creating an eclectic mix of danceable and ambient tracks.",,,Y
MANDIDEXTROUS,"Mandidextrous is an artist recognized for pioneering the subgenre of jungletek, a fusion of jungle and techno music. They are known for their high-paced, bass-heavy tracks that dominate underground raves.",,,Y
ANNA PRIOR,Anna Prior is the drummer of the electronic band Metronomy and is known for her contributions to the indie-pop and electronic music scenes.,,,Y
BENJI B,"Benji B is renowned for his eclectic DJ sets and radio shows, where he seamlessly blends hip-hop, grime, electronic, and soulful tunes. He has become a prominent figure in the underground music scene, known for his ability to discover and promote emerging talent.",,,Y
SAMURAI BREAKS,"Samurai Breaks is an artist in the genre of jungle and drum and bass. Known for high-energy tracks and breakbeat rhythms, Samurai Breaks has a distinctive sound that mixes classic jungle vibes with modern twists.",,,Y
CHRIS CRUSE,"Chris Cruse is a DJ who is deeply rooted in the LGBTQ+ underground scene. He is the founder of the critically acclaimed queer party series Spotlight, known for its cutting-edge house and techno selections. Cruseâs sets are known for their emotional depth and dancefloor intensity.",,,Y
HAMDI,"Hamdi is a producer and DJ known for his work in the UK bass and grime scenes. His music often features heavy sub-bass lines, sharp rhythms, and dark atmospheres, making him a respected figure among fans of the genre.",,,Y
EMMA-JEAN THACKRAY,"Emma-Jean Thackray is a British jazz musician, known for her innovative approach to jazz that blends elements of traditional jazz with electronic music, funk, and psychedelic influences. Her work often features multi-layered compositions and she is recognized as a rising star in the contemporary jazz scene.",,,Y
ZOE WREN,"Zoe Wren is a folk musician from the UK, known for her storytelling through music. Her style often incorporates traditional folk elements with modern acoustic sounds, creating a unique blend that resonates with contemporary audiences while preserving the essence of folk music.",,,Y
ZERO 7,"Zero 7 is a British musical duo known for their contributions to the downtempo and chillout genres. Their music often features a blend of electronic and acoustic elements, with lush, ambient soundscapes and soulful vocal performances. They gained popularity in the early 2000s with albums like 'Simple Things' and 'When It Falls'.",,,Y
MISHRA,"Mishra is a musical duo known for their unique blend of folk, classical, and traditional music. They incorporate elements of British and Indian musical styles, creating a sound that is both rootsy and innovative.",,,Y
THE OLD TIME RAGS,"The Old Time Rags is a group that specializes in performing traditional ragtime music. Their engaging live shows often feature a combination of lively music and vintage costumes, capturing the spirit and energy of the early 20th century.",,,Y
MAX RAD,"Max Rad is a British singer-songwriter and producer known for his smooth blend of electronic and pop music. His sound often features heartfelt lyrics, catchy melodies, and minimalist beats.",,,Y
CRAIG CHARLES,"Craig Charles is a multifaceted artist known for his work as a DJ and presenter. He is particularly celebrated for his contributions to the funk and soul genres, often hosting shows that feature classic tracks and contemporary hits in these styles.",,,Y
FAT TONY,"Fat Tony is a prominent figure in the house music scene, known for his dynamic DJ sets that blend classic house with contemporary electronic dance music.",,,Y
JARVIS COCKER,"Jarvis Cocker is best known as the frontman of the iconic Britpop band Pulp. His musical style includes a mix of alternative rock and indie pop, characterized by witty lyrics and a distinctive vocal delivery.",,,Y
ALEXIS TAYLOR,"Alexis Taylor is a member of the band Hot Chip and is known for his work in the electronic and indie pop genres. His music often features a combination of electronic beats, melodic synth lines, and thoughtful lyrics.",,,Y
ROGUE WAVE,"Rogue Wave is an American indie rock band from Oakland, California. They are known for their layered, melodic sound that incorporates elements of folk, pop, and rock.",,,Y
DJ PAULETTE,"DJ Paulette is a renowned British DJ known for her eclectic sets that span various genres including house, techno, and disco. She has had residencies at some of the world's top clubs and is celebrated for her dynamic and inclusive approach to DJing.",,,Y
SAUL ROSE,"Saul Rose is known for his contributions to the folk and traditional music scene, particularly in England. He is a talented melodeon player, contributing to various bands and collaborations.",,,Y
MOYA BRENNAN,"Moya Brennan is an iconic figure in Celtic music, often referred to as the 'First Lady of Celtic Music.' She is known for her ethereal voice and her work with the renowned band Clannad, as well as her solo career.",,,Y
THE ZAWOSE QUEENS,"The Zawose Queens are known for their traditional Tanzanian music, incorporating indigenous instruments and vocal styles that showcase the rich musical heritage of East Africa.",,,Y
COSMO SHELDRAKE,"Cosmo Sheldrake is a British musician, composer, and producer known for his eclectic and experimental approach to music. His work often incorporates elements of folk, electronic, and various world music traditions, creating a unique and whimsical soundscape.",,,Y
UNCLE DUGS,Uncle Dugs is a DJ and radio presenter known for his dedication to Jungle and Drum and Bass music. He curates shows that highlight classic tracks while introducing new talent in the genre.,,,Y
JESCA HOOP,"Jesca Hoop is an avant-garde singer-songwriter who blends elements of folk, indie rock, and experimental music. Her eclectic style and thought-provoking lyrics make her a unique presence in the music world.",,,Y
DAISY CHAPMAN,"Daisy Chapman's music sits at the intersection of dark folk and chamber pop. Known for her haunting piano compositions and powerful vocals, she crafts emotionally charged songs that resonate deeply with her audience.",,,Y
REN HARVIEU,"Ren Harvieu is an English singer-songwriter known for her lush, soulful voice and retro pop sensibilities. Her music often draws from classic pop and soul influences, creating a nostalgic yet contemporary sound.",,,Y
THE JONNY HALIFAX INVOCATION,"The Jonny Halifax Invocation is known for their raw, electric blues sound, blending elements of psychedelia, rock, and drone music.",,,Y
3 DAFT MONKEYS,"3 Daft Monkeys are known for their eclectic mix of folk, world music, and punk. Their energetic style often blends traditional folk instruments with a modern twist.",,,Y
BEANS ON TOAST,"Beans On Toast is a British folk singer-songwriter. Known for his raw, unfiltered lyrics and simple acoustic guitar arrangements, he often addresses political and social issues in a humorous and candid manner.",,,Y
KANE,"Kane is a rock band from the Netherlands, known for their alternative rock sound. They gained significant popularity in the early 2000s with hits such as 'Rain Down on Me' and 'No Surrender.'",,,Y
KISS NUKA,"Kiss Nuka is an electronic music artist known for her experimental soundscapes and fusion of various electronic sub-genres. Her music often incorporates elements of ambient, techno, and downtempo, creating rich and immersive auditory experiences.",,,Y
ZIMMA,"Zimma is associated with the UK bass music scene, producing tracks that blend elements of house, garage, and bassline.",,,Y
MOHAWKESTRA,"Mohawkestra is a UK-based instrumental band that blends elements of jazz, funk, and soul with modern beats and grooves to create a vibrant and eclectic sound.",,,Y
GENE,"Gene was a British alternative rock band that emerged in the mid-1990s, often fitting into the Britpop movement with their introspective lyrics and melodic guitar-driven sound.",,,Y
WES BAGGALEY,"Wes Baggaley is a UK-based DJ known for his eclectic mix of house and techno. With a deep love for electronic music, his sets often span various sub-genres, blending classic house sounds with the edgier side of techno.",,,Y
JOSHUA JAMES,"Joshua James is a prominent figure in the UK's house and techno scene. Known for his energetic and dynamic DJ sets, he seamlessly fuses deep house grooves with the driving rhythms of techno, creating an infectious dance floor experience.",,,Y
GIYA,"Giya is an emerging artist in the electronic music scene, blending elements of house, techno, and ambient music. Her soundscapes are often richly textured, creating an immersive listening experience that is both deep and uplifting.",,,Y
KRAFTY KUTS,"Krafty Kuts is a pioneer in the UK breakbeat and electro breaks scene. Known for his innovative production and high-energy DJ sets, he has been a key figure in popularizing breakbeat music globally.",,,Y
ROSS FROM FRIENDS,"Ross From Friends is a significant artist within the lo-fi house sub-genre. His music features hazy textures, lo-fi beats, and nostalgic melodies that evoke a sense of longing and memory, all while keeping the dance floor moving.",,,Y
THE BAREFOOT BANDIT,"The Barefoot Bandit is a reggae/dub band known for their energetic performances and fusion of reggae with elements of rock and ska, creating a lively and upbeat sound.",,,Y
SAM DIVINE,"Sam Divine is a prominent figure in the house music scene. Known for her dynamic DJ sets and deep connection with her audience, she has become a staple at major house music festivals and events around the world.",,,Y
SG LEWIS,"Sg Lewis is a British singer, songwriter, and record producer. His music blends elements of electronic, disco, and house, often resulting in a smooth, atmospheric sound that appeals to fans of contemporary dance music.",,,Y
TOVE LO,"Tove Lo is a Swedish singer and songwriter known for her raw, confessional pop music. Her style often incorporates elements of electropop and indie pop, characterized by catchy hooks and emotionally charged lyrics.",,,Y
PUMAROSA,"Pumarosa is a British band that merges indie rock with electronic and psychedelic influences. Their music often features strong, atmospheric instrumentation and evocative vocals, creating a unique and dynamic soundscape.",,,Y
NEFFA-T,"Neffa-T is a DJ and producer known for his work in the UK bass music scene. His sound typically includes elements of grime, dubstep, and drum and bass, distinguished by heavy basslines and intricate rhythms.",,,Y
LUKE SOLOMON,"Luke Solomon is a British DJ and music producer known for his contributions to house music. He is notable for his eclectic style, which often incorporates elements of disco, funk, and soul, resulting in tracks that are both innovative and danceable.",,,Y
THEO KOTTIS,"Theo Kottis is a Scottish DJ and producer whose music typically falls within the realm of house and techno. His style frequently features melodic and emotive elements, creating a deep and immersive listening experience.",,,Y
MAD APPLE CIRCUS,"Mad Apple Circus is a high-energy band known for their unique blend of ska, hip-hop, funk, and jazz. They are celebrated for their dynamic live performances and eclectic sound that gets audiences moving.",,,Y
RUMBA DE BODAS,"Rumba De Bodas is a band from Italy that fuses Latin, swing, and ska. Their lively and festive music is designed to get audiences dancing, incorporating vibrant rhythms and a cheerful vibe.",,,Y
JFB,"JFB is a British DJ and producer renowned for his impressive turntablism skills and his contributions to the drum and bass and breakbeat genres. He has won several DJ competitions and is celebrated for his dynamic, high-energy sets.",,,Y
THE PRIMITIVES,"The Primitives are a British indie pop band that rose to fame in the late 1980s. Their sound is characterized by catchy melodies, jangly guitars, and the distinctive voice of lead singer Tracy Tracy. They are best known for their hit 'Crash'.",,,Y
MK,"MK (Marc Kinchen) is an American DJ, producer, and remixer primarily known for his work in house music. He has produced numerous hits and is recognized for his distinctive remixing style, which has shaped modern house music significantly.",,,Y
CHIMINYO,"Chiminyo is a groundbreaking artist known for his unique blend of electronic music with live percussion. He uses custom-designed drum kits to create intricate and dynamic performances, seamlessly integrating electronic beats and samples.",,,Y
MAD DOG MCREA,"Mad Dog Mcrea is a lively band known for their fusion of folk, gypsy jazz, and rock. Their music often features a mix of traditional instruments like the accordion and violin, coupled with storytelling lyrics and a party atmosphere.",,,Y
HONEY DIJON,"Honey Dijon is a prominent artist in the house music scene, known for her skillful DJ sets and eclectic productions that blend elements of Chicago house, techno, and disco. She is also an influential figure in fashion and LGBTQ+ advocacy.",,,Y
DELILAH BON,"Delilah Bon is recognized for her fusion of rap, punk, and rock. Her music is characterized by strong feminist themes, aggressive vocals, and a DIY punk aesthetic that challenges societal norms.",,,Y
SHERELLE,"Sherelle is a London-based DJ and producer known for her high-octane sets and deep expertise in footwork, jungle, and drum & bass. Her energetic performances and innovative selections have made her a prominent figure in the UK electronic music scene.",,,Y
DR MEAKER,"Dr Meaker is a renowned act in the drum and bass scene, known for blending live instruments with electronic beats. Their sound is characterized by soulful vocals, lush melodies, and heavy basslines, creating a powerful and emotive listening experience.",,,Y
THE EGG,"The Egg is known for their dance-oriented sound that blends elements of electronic, rock, and funk. They gained significant attention with their track 'Walking Away,' which received various remixes, blending catchy grooves with live instrumentation.",,,Y
MINA,"Mina is an artist celebrated for her eclectic take on UK funky, Afrobeat, and dancehall. Her productions often feature vibrant, polyrhythmic beats and collaborations with international vocalists, creating a unique and danceable sound.",,,Y
ANTIKVARINIAI KASPIROVSKIO DANTYS,"Antikvariniai Kaspirovskio Dantys is a Lithuanian band known for their eclectic mix of Balkan, ska, and punk influences, creating lively and upbeat music.",,,Y
HOT CHIP,"Hot Chip is an English electronic music band formed in London. Their music features a mix of indie pop, house, and synth-pop, known for catchy melodies and introspective lyrics.",,,Y
HANNAH HOLLAND,"Hannah Holland is a DJ and producer from London, known for her eclectic sets that span house, techno, and bass music. She is also the founder of Batty Bass Records.",,,Y
DJ SPEN,"DJ Spen is an American DJ and producer, renowned for his work in house music. He has a long history in the industry, including his work with The Basement Boys and Quantize Recordings.",,,Y
YOUNG MARCO,"Young Marco is a Dutch DJ and producer known for his eclectic approach to electronic music, blending elements of house, disco, and ambient. His sets are celebrated for their unpredictability and emotional depth.",,,Y
PENGSHUI,"Pengshui is a UK-based band that fuses grime, punk, and heavy metal. Known for their aggressive sound and intense live performances, they bring a unique energy to the UK's alt-music scene.",,,Y
BREAK,"Break is a British drum and bass producer and DJ. Known for his technical skills and deep, rolling basslines, he has released numerous tracks and albums that are staples in the DnB community.",,,Y
CARASEL,"Carasel is known in the drum and bass scene, often recognized for his skills as an MC and vocalist. He has collaborated with various producers and is a staple in live drum and bass events.",,,Y
ALTERN 8,"Altern 8 is an English electronic music act from Stafford, best known for their early 1990s rave music, which combined elements of acid house, techno, and breakbeat hardcore.",,,Y
MARK ARCHER,"Mark Archer is a British electronic musician and DJ, best known as one half of the electronic music duo Altern 8. He is a pivotal figure in the UK rave and dance music scenes.",,,Y
ERIC PRYDZ,"Eric Prydz is a Swedish DJ and producer known for his contributions to progressive house and techno. He gained widespread recognition for hits like 'Call on Me' and 'Pjanoo,' and has performed under various aliases, including Pryda and Cirez D, showcasing his versatility in electronic dance music.",,,Y
HIXXY,"Hixxy is a prominent figure in the UK happy hardcore scene, known for his high-energy tracks and prolific DJ sets. He has been instrumental in shaping the genre, both as a solo artist and as part of the group Force & Styles. His work often features fast beats and euphoric melodies, making him a staple in the rave and hardcore circuits.",,,Y
DILLINJA,"Dillinja is a British drum and bass producer and DJ, renowned for his heavy basslines and powerful production techniques. He is considered one of the pioneers of the genre, with a career spanning several decades. Dillinja co-founded the label Valve Recordings and was instrumental in the development of the iconic Valve Sound System.",,,Y
CHIMPO,"Chimpo is a Manchester-based producer and DJ known for his work in the Drum and Bass and Grime scenes. His unique style often blends elements from both genres, making his tracks energetic and bass-heavy.",,,Y
IDRIS ELBA,"Idris Elba is a versatile artist who has made a significant mark in the house and techno music scene. As a DJ and producer, he is known for his deep house beats and engaging live sets.",,,Y
LEEROY THORNHILL,Leeroy Thornhill is a former member of The Prodigy and has made a name for himself in the breakbeat and electronic music scene. His solo work continues to push boundaries with high-energy beats and innovative sounds.,,,Y
PLANNINGTOROCK,"Planningtorock is an experimental music artist known for blending elements of electronic, pop, and avant-garde music. The artist's work often explores themes of gender and identity, creating a unique sonic and visual experience.",,,Y
PEACH,"Peach is a DJ and producer associated with the house and techno sub-genres. Known for her eclectic sets and productions, she often merges various styles, creating a distinctive and dynamic sound.",,,Y
SIMULA,"Simula is a Drum and Bass producer known for his fast-paced, high-energy tracks. His music often features intricate basslines and complex rhythms, making him a rising star in the genre.",,,Y
LOU HAYTER,"Lou Hayter is a multi-talented musician and producer known for her contributions to the nu-disco and synth-pop genres. Her work often incorporates lush synthesizers and catchy melodies, creating a fresh take on classic sounds.",,,Y
RUDIMENTAL,"Rudimental is a British band known for their contributions to the Drum and Bass and electronic music scenes. Their tracks often feature a blend of soulful melodies and robust basslines, making them a staple in the genre.",,,Y
TODD EDWARDS,"Todd Edwards is an American house and garage producer known for his pioneering work in the UK garage scene. He is famous for his unique vocal sampling technique, which has influenced a generation of electronic music producers.",,,Y
THE DOWNSETTERS,"The Downsetters are a ska band known for their energetic and vibrant performances. Their sound incorporates elements of traditional ska, punk, and reggae, making them a dynamic presence in the modern ska revival scene.",,,Y
ANGEL DâLITE,"Angel DâLite is an emerging artist in the electronic music scene, known for her vibrant and eclectic mixes. Her style often blends elements of house, trance, and breakbeat, creating a unique and energetic soundscape.",,,Y
A GUY CALLED GERALD,"A Guy Called Gerald is an influential figure in electronic music, particularly known for his contributions to house, techno, and drum and bass. His track 'Voodoo Ray' is iconic in the acid house movement.",,,Y
S.P.Y,S.P.Y is a Brazilian drum and bass DJ and music producer known for his work in the Liquid Funk sub-genre.,,,Y
KINGS OF TOMORROW,"Kings Of Tomorrow is a music project by American DJ and house music producer Sandy Rivera, best known for their work in the Deep House genre.",,,Y
4AM KRU,"4AM Kru is a DJ duo known for their energetic sets that blend drum and bass with jungle influences. Their music often features rapid breakbeats and heavy basslines, making them a popular act in the rave and underground music scene.",,,Y
CARA HAMMOND,"Cara Hammond is a singer-songwriter whose music blends soulful pop with influences from folk and jazz. Known for her compelling vocal delivery and introspective songwriting, Hammond creates music that is both emotive and relatable.",,,Y
DUSTY STRAY,"Dusty Stray is the musical project of Jonathan Brown, characterized by its melancholic indie-folk sound. The music often features delicate acoustic instrumentation, haunting melodies, and reflective lyrics that explore themes of love, loss, and solitude.",,,Y
